title,link,head_title,head_name,inn,ogrn,reg_date,reg_cap,status,main_activity,main_activity_code,address 
"ооо ""экошот""",/id/7764231,генеральный директор,карпов даниил александрович,7813227579,1157847264673,3 августа 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"197198, город санкт-петербург, большая пушкарская улица, дом 42/16 корпус литер а, помещение 1-н"
"ооо ""прожектор""",/id/10719452,директор,карпухина яна викторовна,2364014606,1162364051321,20 октября 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"352396, краснодарский край, кавказский район, город кропоткин, двойная улица, дом 144/3"
"ооо ""четверг""",/id/10440165,генеральный директор,ершов владислав валерьевич,7813249580,1167847184625,14 апреля 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"197136, город санкт-петербург, улица подрезова, дом 17 литера а, помещение 4н"
"ооо ""а2 клуб""",/id/10727066,генеральный директор,агузарова альбина алибековна,7813263168,1167847408651,20 октября 2016 г.,1 000 000 руб.,,56.30 подача напитков,563000,"197022, город санкт-петербург, проспект медиков, дом 3 литер а, помещение 1н"
"ооо ""ск ""жилпромстрой""",/id/10879267,генеральный директор,шнейдер мария александровна,7813271183,1177847051062,8 февраля 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"191002, город санкт-петербург, разъезжая улица, дом 7 литер а, помещение 3н"
"ооо ""победа""",/id/11196709,генеральный директор,братушка артем андреевич,7813289342,1177847331001,10 октября 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"197198, город санкт-петербург, красносельская улица, дом 16 литер а, помещение 7н"
"ооо ""маслоу бар""",/id/11406779,генеральный директор,масленникова марина альбертовна,7813610189,1187847102189,10 апреля 2018 г.,50 000 руб.,,56.30 подача напитков,563000,"197198, город санкт-петербург, проспект большой п.с., дом 27/1 литер а, квартира 19"
"ооо ""на набережной""",/id/11468077,генеральный директор,козлова елена николаевна,7813613729,1187847163459,9 июня 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"197198, город санкт-петербург, съезжинская улица, дом 19 литер а, помещение 3-н офис 3г"
"ооо ""ника групп""",/id/11511860,генеральный директор,василенко евгений вячеславович,7813616208,1187847208834,25 июля 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"197198, город санкт-петербург, ропшинская улица, дом 4 литер а, пом. 1н"
"ооо ""дегустатор""",/id/11549303,генеральный директор,молев дмитрий владимирович,7813619311,1187847248863,6 сентября 2018 г.,60 000 руб.,,56.30 подача напитков,563000,"197101, город санкт-петербург, проспект большой п.с., дом 63 литер б, помещение 1н"
"ооо ""пин78""",/id/11651723,генеральный директор,порошин игорь николаевич,7813628323,1187847377948,16 декабря 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"197101, город санкт-петербург, улица мира, дом 25 литер а, помещение 5н"
"ооо ""хмель""",/id/11750225,директор,казаков алексей олегович,2724233765,1192724007300,2 апреля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"680031, хабаровский край, город хабаровск, улица карла маркса, дом 147, квартира 107"
"ооо ""галактика""",/id/1920255,директор,фролова светлана федоровна,2127314273,1022100975731,22 февраля 2001 г.,,,56.30 подача напитков,563000,"428000, чувашская республика - чувашия, город чебоксары, проспект мира, дом 7, офис 1"
"ооо ""гэлакси""",/id/1295199,директор,фролова светлана федоровна,2127328830,1032127017955,26 декабря 2003 г.,10 000 руб.,,56.30 подача напитков,563000,"428000, чувашская республика - чувашия, город чебоксары, проспект мира, дом 7, офис 1"
"ооо ""система""",/id/4119966,директор,белик георгий игоревич,2801107038,1052800101496,15 ноября 2005 г.,1 000 000 руб.,,56.30 подача напитков,563000,"675000, амурская область, город благовещенск, улица ленина, дом 29 корпус 37"
"ооо ""белый дом""",/id/3029081,директор,куликова лариса владимировна,5010033004,1055001816650,22 декабря 2005 г.,10 000 руб.,,56.30 подача напитков,563000,"141981, московская область, город дубна, проспект боголюбова, 46"
"ооо ""рона""",/id/2319659,директор,зверев роман леонидович,5042104219,1085038015105,1 декабря 2008 г.,10 000 руб.,,56.30 подача напитков,563000,"141371, московская область, сергиево-посадский район, город хотьково, улица михеенко, 24"
"ооо ""апельсин""",/id/2523539,генеральный директор,васильева елена михайловна,6142022890,1096192000486,9 декабря 2009 г.,10 000 руб.,,56.30 подача напитков,563000,"347044, ростовская область, белокалитвинский район, город белая калитва, поселок стандартный улица, 17"
"ооо ""визионари миндс""",/id/6066061,директор,юдин елисей игоревич,1655244779,1121690035763,5 мая 2012 г.,10 000 руб.,,56.30 подача напитков,563000,"420111, республика татарстан, город казань, профсоюзная улица, дом 10/14"
"ооо ""булл гриль""",/id/6003130,директор,петров сергей олегович,2464244730,1122468034776,21 июня 2012 г.,20 000 руб.,,56.30 подача напитков,563000,"660017, красноярский край, город красноярск, проспект мира, 91, помещение 70"
"ооо ""бар 151""",/id/6796818,директор,лапардина юлия викторовна,7536129560,1127536005740,12 сентября 2012 г.,10 000 руб.,,56.30 подача напитков,563000,"672000, забайкальский край, город чита, ленинградская улица, 15 литер а"
"ооо ""кай""",/id/8573788,генеральный директор,хлопцев анатолий борисович,5020076261,1145020001730,10 июля 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"141601, московская область, город клин, сестрорецкая улица, 13 строение 5"
"ооо ""одеви""",/id/7698175,директор,евшин кирилл юрьевич,5407211533,1155476019566,27 февраля 2015 г.,20 000 руб.,,56.30 подача напитков,563000,"630132, новосибирская область, город новосибирск, нарымская улица, дом 21"
"ооо ""торус""",/id/7703697,генеральный директор,зайцева светлана михайловна,7105043477,1157154018340,6 июля 2015 г.,15 000 руб.,,56.30 подача напитков,563000,"300053, тульская область, город тула, улица вильямса, дом 38б, комната 16"
"ооо ""ада""",/id/10533893,генеральный директор,кирсанов александр николаевич,5042141524,1165042051899,24 июня 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"141303, московская область, сергиево-посадский район, город сергиев посад, ярославское шоссе, дом 4в, офис 21"
"ооо ""ариста""",/id/10487163,директор,воткинс фрэнк,5403017655,1165476109446,23 мая 2016 г.,30 000 руб.,,56.30 подача напитков,563000,"630087, новосибирская область, город новосибирск, улица ватутина, дом 65, помещение 1-2"
"ооо ""вымпел""",/id/10824481,генеральный директор,коноплев сергей михайлович,5017112336,1165024062147,21 декабря 2016 г.,15 000 руб.,,56.30 подача напитков,563000,"143500, московская область, город истра, улица урицкого, дом 43"
"ооо ""сибирь-17""",/id/10864020,директор,мышегребова галина ивановна,5401970132,1175476003955,19 января 2017 г.,1 090 000 руб.,,56.30 подача напитков,563000,"630089, новосибирская область, город новосибирск, улица кошурникова, дом 45, этаж 1"
"ооо ""сикора""",/id/10962424,генеральный директор,сикора полина викторовна,7820056638,1177847124795,6 апреля 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"191040, город санкт-петербург, коломенская улица, дом 9 литера а, помещение 4-н"
"ооо ""маркетбар""",/id/11669013,генеральный директор,рязанцева ольга игоревна,4345487657,1194350000195,11 января 2019 г.,10 005 руб.,,56.30 подача напитков,563000,"610047, кировская область, город киров, улица василия жуковского, дом 6, помещение 1099"
"ооо ""крошка моя""",/id/11672248,генеральный директор,гильманов андрей аслахович,9710071860,1197746012078,15 января 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"125009, город москва, тверская улица, дом 22, помещение i ком 12"
"ооо ""белогорье""",/id/11688995,директор,копылов алексей владимирович,3123449384,1193123003655,4 февраля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"308033, белгородская область, город белгород, улица щорса, дом 39а, помещение 15"
"ооо ""империя""",/id/11715476,генеральный директор,никаноров максим андреевич,5053058370,1195081010068,25 февраля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"144000, московская область, город электросталь, красная улица, дом 27б этаж 3, помещение 4"
"ооо ""дринк хаус""",/id/11738328,генеральный директор,румянцев владислав валерьевич,5044114999,1195007003069,20 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"141544, московская область, солнечногорский район, территория отель тропикана, строение 1, этаж/офис 2/11"
"ооо ""астрид""",/id/11748692,генеральный директор,гордеева ольга александровна,1655416160,1191690028530,28 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"420111, республика татарстан, город казань, профсоюзная улица, дом 10/14, помещение 1"
"ооо ""саба""",/id/821354,директор,шмаков павел александрович,3702079416,1053701180158,27 октября 2005 г.,10 000 руб.,,56.30 подача напитков,563000,"153000, ивановская область, город иваново, шереметевский проспект, дом 53 литер а3, помещение 20 этаж1"
"ооо ""аккорд""",/id/1595245,директор,шаронова валентина викторовна,5247046590,1075247000476,15 марта 2007 г.,504 000 руб.,,56.30 подача напитков,563000,"607067, нижегородская область, город выкса, улица ленина, 294"
"ооо ""ника""",/id/3451950,директор,постовалова наталия юрьевна,8602067906,1078602011982,26 ноября 2007 г.,10 000 руб.,,56.30 подача напитков,563000,"628406, ханты-мансийский автономный округ - югра, город сургут, быстринская улица, 22-1"
"ооо ""5й океан""",/id/6780499,директор,иванов георгий георгиевич,8603194030,1128603028872,25 октября 2012 г.,16 667 руб.,,56.30 подача напитков,563000,"628611, ханты-мансийский автономный округ - югра, город нижневартовск, улица ленина, 15, 1001"
"ооо ""сб""",/id/6645218,директор,ерлина оксана васильевна,5407483417,1135476022736,11 февраля 2013 г.,10 000 руб.,,56.30 подача напитков,563000,"630099, новосибирская область, город новосибирск, советская улица, 37"
"ооо ""сэинт майкл""",/id/7701488,генеральный директор,улискина анна александровна,2536285496,1152536006864,7 июля 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"690087, приморский край, город владивосток, луговая улица, дом 63, квартира 11"
"ооо ""паб красная жара""",/id/10245578,генеральный директор,бакеева яна геннадьевна,4345431206,1154350014180,3 декабря 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"610048, кировская область, город киров, улица воровского, дом 159, помещение 1001"
"ооо ""пульс""",/id/7628860,генеральный директор,гаврильчик александр павлович,7811203780,1157847187112,28 мая 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"191025, город санкт-петербург, стремянная улица, дом 21/5 литер а, помещение 42"
"ооо ""стройлесэкспорт",/id/10422844,директор,якимов александр александрович,5919026519,1165958071190,5 апреля 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"618554, пермский край, город соликамск, советская улица, дом 56/4, офис 301"
"ооо ""князь""",/id/11412781,директор,гусейнова гюльбахар хасай кызы,1001333678,1181001003512,17 апреля 2018 г.,400 000 руб.,,56.30 подача напитков,563000,"185002, республика карелия, город петрозаводск, улица софьи ковалевской (перевалка р-н), дом 3, квартира 92"
ооо легион крафтового пива,/id/11559170,генеральный директор,манафов тофик манаф оглы,7702439049,1187746812274,13 сентября 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"127051, город москва, переулок сухаревский м., дом 9 строение 1, э 2 пом i к 50 оф 7"
"ооо ""своя атмосфера""",/id/11747414,директор,кириллов виталий николаевич,5609191985,1195658005938,27 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"460044, оренбургская область, город оренбург, улица березка, дом 4, квартира 67"
"ооо ""корона""",/id/11748621,директор,лекомцев владимир васильевич,1837018862,1191832007344,28 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"427645, республика удмуртская, глазовский район, деревня пусошур, центральная улица, дом 3, квартира 2"
"ооо ""лёд""",/id/11750405,директор,ростовский владимир анатольевич,1840087753,1191832007531,1 апреля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"426060, республика удмуртская, город ижевск, улица 9 января, дом 197, квартира 44"
"ооо ""арт-лаунж""",/id/11750878,генеральный директор,немцев вячеслав леонидович,9729282984,1197746231275,2 апреля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"119330, город москва, мичуринский проспект, дом 6 корпус 2, эт 1 пом vi ком 1-6"
"ооо ""красный восток""",/id/2271813,директор,снегурова ксения валерьевна,1216009350,1021202252411,4 февраля 2000 г.,255 000 руб.,,56.30 подача напитков,563000,"425000, республика марий эл, город волжск, улица мира, 17 а"
"ооо ""миат""",/id/3995086,директор,долганова елена викторовна,7415036430,1027400876975,28 июня 2002 г.,,,56.30 подача напитков,563000,"456300, челябинская область, город миасс, улица романенко, дом 50а, офис 101"
"ооо ""диас""",/id/3255367,генеральный директор,июст алексей александрович,3906126262,1043902836086,17 сентября 2004 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"236000, калининградская область, город калининград, ленинский проспект, 8 а, 16"
"ооо ""дело вкуса""",/id/4367578,директор,лалетина ирина алексеевна,1901073221,1061901031939,1 июня 2006 г.,150 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"655017, республика хакасия, город абакан, улица щетинкина, дом 42, квартира 19"
"ооо ""коста""",/id/2530908,генеральный директор,ковалев александр сергеевич,3804034848,1063804024866,4 мая 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"665724, иркутская область, город братск, центральный, крупской улица, 27, 114"
"ооо кафе-бар ""оазис""",/id/2051134,генеральный дректор,асланов салах гара оглы,4402007250,1084432000245,2 июня 2008 г.,20 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"157006, костромская область, буйский район, город буй, улица октябрьской революции, 142б"
"ооо ""дискавери""",/id/3927833,директор,тимофеева юлия сергеевна,7404051846,1087404002641,29 октября 2008 г.,10 000 руб.,,56.30 подача напитков,563000,"456200, челябинская область, город златоуст, таганайская улица, 204"
"ооо ""лмх-групп""",/id/6654160,директор,лебедев александр александрович,3906288312,1133926006180,18 февраля 2013 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"236010, калининградская область, город калининград, воздушная улица, 2, 28"
"ооо ""бэлла""",/id/7109742,генеральный директор,ивойлов андрей владимирович,4101160061,1134101005257,1 октября 2013 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"683003, камчатский край, город петропавловск-камчатский, вилюйская улица, 79, 9"
"ооо ""жемчужина""",/id/6869524,директор,кураева наталия александровна,5256119879,1135256002848,11 апреля 2013 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"603041, нижегородская область, город нижний новгород, молодежный проспект, 3, помещение 1"
"ооо ""сад""",/id/7218050,директор,коновалова элеонора юрьевна,6150075574,1146183000336,31 января 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"346428, ростовская область, город новочеркасск, баклановский проспект, 81а"
"ооо ""велес опт""",/id/7845228,ликвидатор,винокуров алексей анатольевич,6319198162,1156313054787,18 сентября 2015 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"443029, самарская область, город самара, солнечная улица, дом 48, офис 303"
"ооо ""карибидис и сыновья""",/id/10966854,директор,карибов дорофей иванович,2304071575,1172375028165,7 апреля 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"353460, краснодарский край, город геленджик, улица луначарского, дом 38"
"ооо ""ностальгия""",/id/11236059,директор,брусьянин артем борисович,1001330324,1171001010927,15 ноября 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"185011, республика карелия, город петрозаводск, улица лыжная (кукковка р-н), дом 30, квартира 39"
"ооо ""сэт""",/id/11709736,генеральный директор,лавров александр валерьевич,9709044981,1197746128580,20 февраля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"105120, город москва, набережная академика туполева, дом 1/7 строение 2, квартира 53"
"ооо ""велес""",/id/11747452,генеральный директор,ткаченко сергей павлович,5406999456,1195476024677,29 марта 2019 г.,22 000 руб.,,56.30 подача напитков,563000,"630091, новосибирская область, город новосибирск, советская улица, дом 52, офис 8,9,10,11,20,23"
"ооо ""космос""",/id/2159851,директор,едемская виктория вячеславовна,2902051776,1062902005540,22 февраля 2006 г.,100 000 руб.,,56.30 подача напитков,563000,"164504, архангельская область, город северодвинск, улица чехова, 4"
"ооо ""лель""",/id/1148348,ликвидатор,санжар татьяна ивановна,4205188456,1094205020788,11 ноября 2009 г.,486 655 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"650033, кемеровская область, город кемерово, инициативная улица, 27 а"
"ооо ""старый двор""",/id/10280485,генеральный директор,адамян славик сергеевич,5102000721,1155190016189,25 декабря 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"184041, мурманская область, кандалакшский район, город кандалакша, красноармейская улица, дом 3"
"ооо ""берлускони""",/id/7576058,директор,самбуу роман андреевич,5401950601,1155476010623,5 февраля 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"630112, новосибирская область, город новосибирск, улица кошурникова, дом 5, этаж 1"
"ооо ""гастрономи""",/id/10501717,директор,пугач иван иванович,3525378045,1163525077308,3 июня 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"160000, вологодская область, город вологда, улица мира, дом 9, помещение 6"
"ооо ""бункер лайф""",/id/10827170,генеральный директор,магомедов магомед османович,5402027192,1165476214309,23 декабря 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"630049, новосибирская область, город новосибирск, улица галущака, дом 1а этаж цоколь, офис 1"
"ооо ""амур""",/id/10835136,директор,никонова татьяна юрьевна,5247054329,1165275077571,29 декабря 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"607060, нижегородская область, город выкса, улица ленина, здание 218, помещение 60"
"ооо ""райдерс""",/id/10929301,генеральный директор,гуров дмитрий игоревич,6501289850,1176501001632,14 марта 2017 г.,16 650 руб.,,56.30 подача напитков,563000,"693010, сахалинская область, город южно-сахалинск, сахалинская улица, дом 2"
"ооо ""вокзальная 16""",/id/11369672,директор,аксенов юрий вячеславович,5407969493,1185476018925,14 марта 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"630099, новосибирская область, город новосибирск, улица вокзальная магистраль, дом 16 этаж 2, помещение 95"
"ооо ""ричи паб""",/id/11469141,ликвидатор,речицкая александра игоревна,1821014855,1181832013637,13 июня 2018 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"427261, республика удмуртская, увинский район, поселок ува, заводская улица, дом 5, помещение 1"
"ооо ""бургундия""",/id/11632721,генеральный директор,кузьмина мария валерьевна,5402048361,1185476097730,28 ноября 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"630004, новосибирская область, город новосибирск, улица ленина, дом 17, квартира 2"
"ооо ""кашира""",/id/890760,директор,шишунов евгений николаевич,5404144600,1025401504061,20 июня 1997 г.,1 500 000 руб.,,56.30 подача напитков,563000,"630073, новосибирская область, город новосибирск, проспект карла маркса, 55"
"ооо ""киносервис""",/id/3104524,генеральный директор,тимофеева юлия игоревна,7705826818,1087746119526,28 января 2008 г.,10 000 руб.,,56.30 подача напитков,563000,"115054, город москва, улица бахрушина, дом 25"
"ооо ""капиталъ""",/id/5507247,директор,семенова елена викторовна,2334023515,1112363000045,24 января 2011 г.,11 000 руб.,,56.30 подача напитков,563000,"353730, краснодарский край, каневской район, станица каневская, улица коммунаров, 43"
"ооо ""люком""",/id/5615462,директор,комчатов алексей александрович,4345312343,1114345035771,16 сентября 2011 г.,10 000 руб.,,56.30 подача напитков,563000,"610000, кировская область, город киров, октябрьский проспект, 105"
"ооо ""разлив""",/id/7489241,директор,абдуллина юлия викторовна,5401372340,1135476146596,27 сентября 2013 г.,10 000 руб.,,56.30 подача напитков,563000,"630015, новосибирская область, город новосибирск, улица королева, дом 40/8"
"ооо ""медведь""",/id/7816025,ликвидатор,салахов рашид галимзянович,1651075907,1151651003305,25 сентября 2015 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"423570, республика татарстан, нижнекамский район, город нижнекамск, проспект мира, дом 5 б"
"ооо ""анвиан""",/id/7646821,генеральный директор,антонов антон павлович,7709454818,1157746329102,10 апреля 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"123557, город москва, электрический переулок, дом 3/10 строение 3, эт 1 пом 6 ком 1"
"ооо ""глори""",/id/7873946,генеральный директор,ахади наджибулла абдул ахад,7720313641,1157746787527,25 августа 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"108811, город москва, поселение московский, улица татьянин парк, дом 14 корпус 1, квартира 97"
"ооо ""кофе вэй""",/id/10816979,генеральный директор,красильников максим сергеевич,7734396447,5167746467653,19 декабря 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"123060, город москва, улица маршала рыбалко, дом 2 корпус 6, этаж 11 пом. i ком. 28"
"ооо ""нак""",/id/11502747,директор,кузьмин кирилл александрович,2508133438,1182536023845,12 июля 2018 г.,40 000 руб.,,56.30 подача напитков,563000,"692918, приморский край, город находка, проспект мира, дом 34а этаж 1, помещение 1"
"ооо ""техарсенал""",/id/2661879,директор,колмогорцев александр юрьевич,4522008256,1034527001190,18 сентября 2003 г.,100 000 руб.,,56.30 подача напитков,563000,"641876, курганская область, город шадринск, февральская улица, 105"
"ооо ""грузинская кухня""",/id/5915294,директор,зеленский дмитрий иванович,2304060950,1112304005857,1 ноября 2011 г.,10 000 руб.,,56.30 подача напитков,563000,"353475, краснодарский край, город геленджик, улица грибоедова, дом 19"
"ооо ""лега""",/id/7481336,директор,сверчкова татьяна сергеевна,3253501941,1133256015640,30 октября 2013 г.,10 000 руб.,,56.30 подача напитков,563000,"243300, брянская область, унечский район, город унеча, транспортная улица, дом 6 а"
"ооо ""декарт""",/id/10744733,генеральный директор,боев александр евгеньевич,7111021344,1167154080345,21 ноября 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"301361, тульская область, алексинский район, город алексин, улица героев алексинцев, дом 6 а"
"ооо ""сигма маркет""",/id/2587423,генеральный директор,соловьева олеся николаевна,5003028726,1025000659826,23 сентября 1999 г.,,,56.30 подача напитков,563000,"119530, город москва, улица генерала дорохова, дом 18 строение 1"
"ооо ""водолей""",/id/3505148,директор,балышева ирина владимировна,2311086660,1062311007560,26 февраля 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"353053, краснодарский край, город краснодар, поселок колосистый, звездная улица, 9"
"ооо ""шафран""",/id/922422,директор,усков андрей владимирович,7604138903,1087604015157,5 августа 2008 г.,10 000 руб.,,56.30 подача напитков,563000,"150003, ярославская область, город ярославль, терешковой улица, 13/5"
"ооо ""старт""",/id/5553823,директор,деменко аркадий николаевич,5405441958,1115476112817,27 сентября 2011 г.,1 010 010 руб.,,56.30 подача напитков,563000,"630009, новосибирская область, город новосибирск, улица добролюбова, дом 16, этаж 1"
"ооо ""золотая звезда""",/id/6742812,директор,новгородцев сергей ефимович,4345343415,1124345025947,20 ноября 2012 г.,100 000 руб.,,56.30 подача напитков,563000,"610048, кировская область, город киров, улица менделеева, дом 21, помещение 1016"
"ооо ""фортуна""",/id/6853880,генеральный директор,огай валентин алексеевич,7524017886,1137524000173,9 апреля 2013 г.,10 000 руб.,,56.30 подача напитков,563000,"672570, забайкальский край, читинский район, поселок городского типа новокручининский, переулок почтовый тупик, 2, 3"
"ооо ""зинаида""",/id/7332561,директор,терехова зинаида васильевна,9202001500,1149204029710,25 сентября 1995 г.,10 000 руб.,,56.30 подача напитков,563000,"290043, город севастополь, улица морской пехоты, дом 1-а"
"ооо ""джойс бар мск""",/id/10195594,генеральный директор,есипов сергей игоревич,7706428601,1157746979477,26 октября 2015 г.,12 500 руб.,,56.30 подача напитков,563000,"119330, город москва, мосфильмовская улица, дом 41 корпус 1, э цоколь п 6 ком 1 оф 93"
"ооо ""спортмикс""",/id/124759,директор,дмитренко олег игоревич,2725033222,1042700276740,2 июля 2004 г.,13 334 руб.,,56.30 подача напитков,563000,"680000, хабаровский край, город хабаровск, улица пушкина, дом 49, помещение 2"
"ооо ""дс групп""",/id/3922155,генеральный директор,мудрац геннадий николаевич,7729543696,1067746404802,23 марта 2006 г.,310 000 руб.,,56.30 подача напитков,563000,"119590, город москва, минская улица, 1г-1, офис12"
"ооо ""фаст фуд""",/id/8499881,генеральный директор,бурганова дина руслановна,1655298118,1141690054483,4 августа 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"420108, республика татарстан, город казань, улица мазита гафури, дом 46, помещение 19б"
"ооо ""великосельские традиции""",/id/9668907,генеральный директор,чучалов илья алексеевич,7616010337,1147609000208,11 февраля 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"152250, ярославская область, гаврилов-ямский район, село великое, улица труфанова, 22"
"ооо ""кит""",/id/7248621,генеральный директор,любимцев леонид викторович,7719878728,1147746527390,8 мая 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"105318, город москва, ткацкая улица, дом 5 строение 3, этаж 4 офис 3-401/1"
"ооо ""эйрплэйс""",/id/10233005,генеральный директор,глянцев александр алексеевич,7725297457,5157746086801,25 ноября 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"115191, город москва, рощинская 2-я улица, дом 4, эт/п/ком/к 5/1а/1/501, р.м.no 9"
"ооо ""спик изи""",/id/11569310,генеральный директор,горбатов сергей дмитриевич,9729275296,1187746832261,25 сентября 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"119526, город москва, проспект вернадского, дом 105 корпус 4, помещение 1"
"ооо ""уют""",/id/11724439,директор,архипов сергей игоревич,5036175412,1195074003300,5 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"142105, московская область, город подольск, народная улица, дом 33, помещение 1"
"ооо ""продукты 24""",/id/11741202,директор,эман станислав альбертович,3525439097,1193525009116,22 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"160000, вологодская область, город вологда, комсомольская улица, дом 3а, квартира 45"
"ооо ""две промилле""",/id/11741986,генеральный директор,протасова елена николаевна,7816692550,1197847068847,25 марта 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"192007, город санкт-петербург, набережная обводного канала, дом 46 литер а, помещение 10-н"
"ооо ""малекон""",/id/3146332,генеральный директор,струнова алла михайловна,5020032232,1025002592966,28 января 2002 г.,,,56.30 подача напитков,563000,"141600, московская область, город клин, 2 -, 2"
"ооо ""дельта""",/id/1402578,генеральный директор,гусев владимир владимирович,5042006444,1025005333803,6 мая 1994 г.,10 300 руб.,,56.30 подача напитков,563000,"141308, московская область, сергиево-посадский район, город сергиев посад, улица серова, 11"
"зао ""н""",/id/4232522,генеральный директор,немерюк никита алексеевич,5044018029,1025005686177,26 июня 1996 г.,10 000 руб.,,56.30 подача напитков,563000,"141580, московская область, солнечногорский район, деревня черная грязь, строение 4"
"ооо ""изумруд""",/id/2285228,ликвидатор,фигалев максим сергеевич,6601009626,1056600009377,19 декабря 2005 г.,250 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"624680, свердловская область, алапаевский район, село ялунинское, улица мира, 18 а"
"ооо ук ""инвест парк""",/id/3627089,генеральный директор,фурман александр вальтерович,5010028396,1065010019293,27 марта 2006 г.,20 000 руб.,,56.30 подача напитков,563000,"141983, московская область, город дубна, улица жуковского, 5"
"ооо ""гермес""",/id/812288,генеральный директор,абель гульнора юнировна,5020048095,1065020038071,8 ноября 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"141600, московская область, город клин, улица карла маркса, 6-9"
"ооо ""терра""",/id/2689731,бухгалтер,базунова надежда алексеевна,5042103952,1085038014610,19 ноября 2008 г.,10 000 руб.,,56.30 подача напитков,563000,"141301, московская область, сергиево-посадский район, город сергиев посад, новоугличское шоссе, 71а"
"ооо ""икс-лэнд плюс""",/id/160682,генеральный директор,белова ольга викторовна,5007069610,1095007000439,9 февраля 2009 г.,10 000 руб.,,56.30 подача напитков,563000,"141840, московская область, дмитровский район, село ильинское, 84 а"
"ооо ""ро-на""",/id/175302,генеральный директор,зверев роман леонидович,5042105406,1095042000448,26 марта 2009 г.,10 000 руб.,,56.30 подача напитков,563000,"141371, московская область, сергиево-посадский район, город хотьково, улица михеенко, 24"
"ооо ""абердин""",/id/6615918,директор,штыкова татьяна владимировна,6324034441,1126324015036,17 декабря 2012 г.,10 000 руб.,,56.30 подача напитков,563000,"445047, самарская область, город тольятти, улица льва яшина, дом 11, офис 4"
